# This file contains the device descriptions for the DEVDB.tcl file
# Device ID;Device Image (suffixes _thumb.png / .png are generated by install_devdb.sh script)
HB-CDL-6;hb-cdl-6
HB-DIS-EP-42BW;hb-dis-ep-42bw
HB-DIS-EP-42BW-MAINS;hb-dis-ep-42bw-mains
HB-DIS-EP-75BW;hb-dis-ep-75bw
HB-DIS-EP-75BW-MAINS;hb-dis-ep-75bw-mains
HB-ES-PMSw1-USB;hb-es-pmsw1-usb
HB-IBUT-8;hb-ibut-8
HB-IR-Rcv-RC;hb-ir-rcv-rc
HB-LC-Bl1-FM-BAT;7_hm-lc-bl1-fm
HB-LC-Bl1-Velux;7_hm-lc-bl1-fm
HB-LC-Bl1PBU-FM;PushButton-2ch-wm
HB-LC-Bl2-RD;hb-lc-bl2-rd
HB-LC-Dim5PWM-CV;114_hm-lc-dim1t-fm-lf
HB-LC-Sw1PBU-FM;PushButton-2ch-wm
HB-LC-Sw2-FM;5_hm-lc-sw2-fm
HB-LC-Sw2PBU-FM;PushButton-2ch-wm
HB-LC-Sw12-FM;hb-lc-sw12-fm
HB-OU-AF-SEN-TEMP;hb-ou-af-sen-temp
HB-OU-MOT-FAN;hb-ou-mot-fan
HB-OU-MOT-FAN-RPM;hb-ou-mot-fan
HB-OU-MOT-SERVO;hb-ou-mot-servo
HB-OU-MP3-LED;hb-ou-mp3-led
HB-OU-RGB-TEALIGHT;hb-ou-rgb-tealight
HB-OU-RGB-TEALIGHT-BAT;hb-ou-rgb-tealight-bat
HB-RC-2-PBU-LED;hb-rc-2-pbu-led
HB-RC-4-Dis-TH;hb-rc-4-dis-th
HB-RC-4-Dis-TH-CRG;hb-rc-4-dis-th-crg
HB-RC-4-TOUCH;hb-rc-4-touch
HB-RC-6-PBU-LED;hb-rc-6-pbu-led
HB-RC-12-EP-BW;hb-rc-12-ep-bw
HB-RC-12-EP-C;hb-rc-12-ep-c
HB-RC-X-POS;hb-rc-x-pos
HB-Sec-RHS-3;hb-sec-rhs-3
HB-UNI-DMX-Master;hb-uni-dmx-master
HB-UNI-RGB-LED-CTRL;hb-uni-rgb-led-ctrl
HB-UNI-Sen-CAP-MOIST;hb-uni-sen-cap-moist
HB-UNI-Sen-CAP-MOIST-T;hb-uni-sen-cap-moist-t
HB-UNI-Sen-CURRENT;hb-uni-sen-current
HB-UNI-Sen-DIST-TOF;hb-uni-sen-dist-tof
HB-UNI-Sen-DIST-US;hb-uni-sen-dist-us
HB-UNI-Sen-DUMMY-BEACON;hb-uni-sen-dummy-beacon
HB-UNI-Sen-DUMMY-BEACON-V2;hb-uni-sen-dummy-beacon
HB-UNI-Sen-DUST;hb-uni-sen-dust
HB-UNI-Sen-IAQ;hb-uni-sen-iaq
HB-UNI-Sen-LDR-SC;hb-uni-sen-ldr-sc
HB-UNI-Sen-LEV-TOF;hb-uni-sen-lev-tof
HB-UNI-Sen-LEV-US;hb-uni-sen-lev-us
HB-UNI-Sen-PC-WM;hb-uni-sen-pc-wm
HB-UNI-Sen-PF-SC;hb-uni-sen-pf-sc
HB-UNI-Sen-PH;hb-uni-sen-ph
HB-UNI-Sen-PH-ORP;hb-uni-sen-ph-orp
HB-UNI-Sen-PRESS;hb-uni-sen-press
HB-UNI-Sen-PRESS-SC;hb-uni-sen-press
HB-UNI-Sen-RFID-RC;hb-uni-sen-rfid-rc
HB-UNI-Sen-TEMP-DS18B20;hb-uni-sen-temp-ds18b20
HB-UNI-Sen-TEMP-IR;hb-uni-sen-temp-ir
HB-UNI-Sen-TEMP-MAX6675;hb-uni-sen-temp-max6675
HB-UNI-Sen-TEMP-MAX6675-DT;hb-uni-sen-temp-max6675-dt
HB-UNI-Sen-TEMP-SC;hb-uni-sen-temp-sc
HB-UNI-Sen-VOLT;hb-uni-sen-volt
HB-UNI-Sen-WEA;hb-uni-sen-wea
HB-UNI-Sen-WEIGHT;hb-uni-sen-weight
HB-UNI-Sen-WEIGHT-SC;hb-uni-sen-weight-sc
HB-UNI-SenAct-4-4-SC;hb-uni-senact-4-4
HB-UNI-SenAct-4-4-RC;hb-uni-senact-4-4
HB-UNI-SenAct-4-4-SC-BAT;hb-uni-senact-4-4-bat
HB-UNI-SenAct-4-4-RC-BAT;hb-uni-senact-4-4-bat
HB-UNI-SenAct-8-8-SC;hb-uni-senact-8-8
HB-UNI-SenAct-8-8-RC;hb-uni-senact-8-8
HB-UNI-SenAct-8-8-SC-BAT;hb-uni-senact-8-8-bat
HB-UNI-SenAct-8-8-RC-BAT;hb-uni-senact-8-8-bat
HB-WDS40-THP-O;TH_CS
